person,personid,party_id,party
Abdullah Azwar Anas,Q16162595,Q1257317,National Awakening Party (PKB)
Abdullah Azwar Anas,Q16162595,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Afriansyah Noor,Q108889808,Q2915024,Moon and Star Party (PBB)
Agus Gumiwang Kartasasmita,Q12470931,Q1536552,Golkar Party
Agus Suparmanto,Q72087658,Q1257317,National Awakening Party (PKB)
Airlangga Hartarto,Q12471140,Q1536552,Golkar Party
Angela Tanoesoedibjo,Q72242032,Q19752495,Indonesian Unity Party
Arifin Tasrif,Q12472460,F1,Independent
Bahlil Lahadalia,Q65204620,Q1536552,Golkar Party
Bahlil Lahadalia,Q65204620,F1,Independent
Budi Arie Setiadi,Q56416296,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Budi Karya Sumadi,Q28723650,F1,Independent
Dito Ariotedjo,Q65208154,Q1536552,Golkar Party
Edhy Prabowo,Q72086432,Q1536552,Golkar Party
Erick Thohir,Q5388188,F1,Independent
Gibran Rakabuming,Q18342893,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Gibran Rakabuming,Q18342893,F1,Independent
Harvick Hasnul Qolbi,Q109563840,F1,Independent
I Gusti Ayu Bintang Darmawati,Q72117992,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Ida Fauziyah,Q17410595,Q1257317,National Awakening Party (PKB)
Jerry Sambuaga,Q65212605,Q1536552,Golkar Party
John Wempi Wetipo,Q25465726,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Johnny G. Plate,Q72119052,Q4207219,NasDem Party
Juliari Batubara,Q72061436,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Kaesang Pangarep,Q18342896,Q23744654,Indonesia Solidarity Party 
Karier Joko Widodo sebagai Gubernur DKI Jakarta,Q19745980,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Karier Joko Widodo sebagai Wali Kota Surakarta,Q19745981,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Luhut Binsar Panjaitan,Q14917375,Q1536552,Golkar Party
Mahfud MD,Q6892160,F1,Independent
Muhadjir Effendy,Q26236935,F1,Independent
Nadiem Makarim,Q25464675,F1,Independent
Prabowo Subianto,Q2107268,Q4261459,Gerindra Party
Pramono Anung,Q12506342,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Pratikno,Q12506406,F1,Independent
Raja Juli Antoni,Q25464379,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Raja Juli Antoni,Q25464379,Q23744654,Indonesia Solidarity Party 
Retno Marsudi,Q18342668,F1,Independent
Sakti Wahyu Trenggono,Q73854259,F1,Independent
Sandiaga Uno,Q7416335,Q2669302,United Development Party (PPP)
Siti Nurbaya Bakar,Q18421248,Q4207219,NasDem Party
Suahasil Nazara,Q77195503,F1,Independent
Surya Tjandra,Q72252049,Q4207219,NasDem Party
Syahrul Yasin Limpo,Q10860301,Q4207219,NasDem Party
Terawan Agus Putranto,Q72040942,F1,Independent
Teten Masduki,Q12521107,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Tito Karnavian,Q12521705,F1,Independent
Tjahjo Kumolo,Q12521725,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Wishnutama,Q12524647,F1,Independent
Yaqut Cholil Qoumas,Q56391957,Q1257317,National Awakening Party (PKB)
Yasonna Laoly,Q12525045,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Zainudin Amali,Q72061950,Q1536552,Golkar Party
Zainut Tauhid Sa'adi,Q17411758,Q2669302,United Development Party (PPP)
Abdurrahman Mohammad Fachir,Q4119908,F1,Independent
Amran Sulaiman,Q19752868,F1,Independent
Anak Agung Gede Ngurah Puspayoga,Q16166804,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Andi Widjajanto,Q19745525,F1,Independent
Andrinof Chaniago,Q17410461,F1,Independent
Arcandra Tahar,Q26236894,F1,Independent
Arief Yahya,Q17410392,F1,Independent
Asman Abnur,Q12472657,Q2434365,National Mandate Party (PAN)
Darmin Nasution,Q4261409,F1,Independent
Eko Putro Sandjojo,Q28723651,Q1257317,National Awakening Party (PKB)
Enggartiasto Lukita,Q19943079,Q4207219,NasDem Party
Ferry Mursyidan Baldan,Q12482887,Q1536552,Golkar Party
Ferry Mursyidan Baldan,Q12482887,Q4207219,NasDem Party
Franky Sibarani,Q19745824,F1,Independent
Hanif Dhakiri,Q17410774,Q1257317,National Awakening Party (PKB)
Idrus Marham,Q16773556,Q1536552,Golkar Party
Ignasius Jonan,Q16182287,F1,Independent
Imam Nahrawi,Q18342562,Q1257317,National Awakening Party (PKB)
Indroyono Soesilo,Q18421427,F1,Independent
Mardiasmo,Q19728875,F1,Independent
Marwan Ja'far,Q17410695,Q1257317,National Awakening Party (PKB)
Muhammad Prasetyo,Q19747237,Q4207219,NasDem Party
