person,personid,party_id,party
Ahmad Hanafi Rais,Q16164615,Q2434365,National Mandate Party (PAN)
Hanum Salsabiela Rais,Q7347498,Q2434365,National Mandate Party (PAN)
Syahrul M Pasaribu,Q17411516,Q1536552,Golkar Party
Gus Irawan Pasaribu,Q31174037,Q4261459,Gerindra Party
Dolly Putra Parlindungan Pasaribu,Q105764924,Q4261459,Gerindra Party
Putri Ayu Anisya,Q85993706,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Nur Azizah Tamhid,Q96989129,Q1511101,Justice and Prosperity Party (PKS)
Asnawi Bahar,Q16168725,Q2434365,National Mandate Party (PAN)
Endang Agustini Syarwan,Q16176076,Q1536552,Golkar Party
Puti Guntur Soekarno,Q12507435,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Depriwanto Sitohang,Q109433358,Q1536552,Golkar Party
Dahlan Hasan Nasution,Q25463766,Q4207219,NasDem Party
Herry Lontung Siregar,Q12485608,Q4262041,Hanura Party
Annisa Trihapsari,Q10956050,Q31173603,Beringin Karya Party
Abdul Latif Amin Imron,Q107994307,Q2669302,United Development Party (PPP)
Hadi Utomo,Q16179383,Q1186227,Democratic Party (PD)
Giri Ramanda Kiemas,Q56399362,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Mochamad Hanies Cholil Barro,Q110103050,Q1257317,National Awakening Party (PKB)
Djohari Kahar,Q19725425,Q1536552,Golkar Party
Naoki Tanaka,Q212373,Q200314,Japanese Democratic Party
Junus Effendi Habibie,Q16187445,Q1186227,Democratic Party (PD)
Yetty Rizali Noor,Q12525244,Q1536552,Golkar Party
Ahmad Syawqi,Q56417055,Q4261459,Gerindra Party
Kisenda Wiranata,Q49255734,Q23744654,Indonesia Solidarity Party 
Ahmad Dhani,Q4695305,Q4261459,Gerindra Party
Ahmad Al Ghazali,Q16164465,Q4261459,Gerindra Party
El Rumi,Q16164536,Q4261459,Gerindra Party
Mulan Jameela,Q3234938,Q4261459,Gerindra Party
